,Account Status,Duration,Credit History,Purpose,Credit Amount,Savings,Employment,Installment rate,Sex,Other debtors,Residence,Property,Age,Other installments,Housing,Number of credits,Job,Maintenance,Telephone,Foreign,label_value,score
0,<0,6,critical account,radio/television,1169,no,>= 7 years,4,male single,none,4,real estate,Older,none,own,2,skilled employee / official,1,yes,yes,1,1.0
1,<200,48,existing credits paid back duly till now,radio/television,5951,<100,1 <= < 4 years,2,female divorced/separated/married,none,2,real estate,Younger,none,own,1,skilled employee / official,1,none,yes,0,1.0
2,no,12,critical account,education,2096,<100,4 <= < 7 years,2,male single,none,3,real estate,Older,none,own,1,unskilled - resident,2,none,yes,1,1.0
3,<0,42,existing credits paid back duly till now,furniture/equipment,7882,<100,4 <= < 7 years,2,male single,guarantor,4,savings agreement/life insurance,Older,none,for free,1,skilled employee / official,2,none,yes,1,0.0
4,<0,24,delay in paying off,car (new),4870,<100,1 <= < 4 years,3,male single,none,4,no,Older,none,for free,2,skilled employee / official,2,none,yes,0,0.0
5,no,36,existing credits paid back duly till now,education,9055,no,1 <= < 4 years,2,male single,none,4,no,Middle2,none,for free,1,unskilled - resident,2,yes,yes,1,0.0
6,no,24,existing credits paid back duly till now,furniture/equipment,2835,<1000,>= 7 years,3,male single,none,4,savings agreement/life insurance,Older,none,own,1,skilled employee / official,1,none,yes,1,1.0
7,<200,36,existing credits paid back duly till now,car (used),6948,<100,1 <= < 4 years,2,male single,none,2,car or other,Middle2,none,rent,1,management/ highly qualified employee,1,yes,yes,1,1.0
8,no,12,existing credits paid back duly till now,radio/television,3059,>1000,4 <= < 7 years,2,male divorced/separated,none,4,real estate,Older,none,own,1,unskilled - resident,1,none,yes,1,1.0
9,<200,30,critical account,car (new),5234,<100,unemployed,4,male married/widowed,none,2,car or other,Middle1,none,own,2,management/ highly qualified employee,1,none,yes,0,0.0
10,<200,12,existing credits paid back duly till now,car (new),1295,<100,< 1 year,3,female divorced/separated/married,none,1,car or other,Younger,none,rent,1,skilled employee / official,1,none,yes,0,0.0
11,<0,48,existing credits paid back duly till now,business,4308,<100,< 1 year,3,female divorced/separated/married,none,4,savings agreement/life insurance,Younger,none,rent,1,skilled employee / official,1,none,yes,0,0.0
12,<200,12,existing credits paid back duly till now,radio/television,1567,<100,1 <= < 4 years,1,female divorced/separated/married,none,1,car or other,Younger,none,own,1,skilled employee / official,1,yes,yes,1,1.0
13,<0,24,critical account,car (new),1199,<100,>= 7 years,4,male single,none,4,car or other,Older,none,own,2,unskilled - resident,1,none,yes,0,0.0
14,<0,15,existing credits paid back duly till now,car (new),1403,<100,1 <= < 4 years,2,female divorced/separated/married,none,4,car or other,Middle1,none,rent,1,skilled employee / official,1,none,yes,1,1.0
15,<0,24,existing credits paid back duly till now,radio/television,1282,<500,1 <= < 4 years,4,female divorced/separated/married,none,2,car or other,Middle1,none,own,1,unskilled - resident,1,none,yes,0,1.0
16,no,24,critical account,radio/television,2424,no,>= 7 years,4,male single,none,4,savings agreement/life insurance,Older,none,own,2,skilled employee / official,1,none,yes,1,1.0
17,<0,30,no credits taken,business,8072,no,< 1 year,2,male single,none,3,car or other,Younger,bank,own,3,skilled employee / official,1,none,yes,1,0.0
18,<200,24,existing credits paid back duly till now,car (used),12579,<100,>= 7 years,4,female divorced/separated/married,none,2,no,Older,none,for free,1,management/ highly qualified employee,1,yes,yes,0,0.0
19,no,24,existing credits paid back duly till now,radio/television,3430,<1000,>= 7 years,3,male single,none,2,car or other,Middle1,none,own,1,skilled employee / official,2,yes,yes,1,1.0
20,no,9,critical account,car (new),2134,<100,1 <= < 4 years,4,male single,none,4,car or other,Older,none,own,3,skilled employee / official,1,yes,yes,1,1.0
21,<0,6,existing credits paid back duly till now,radio/television,2647,<1000,1 <= < 4 years,2,male single,none,3,real estate,Older,none,rent,1,skilled employee / official,2,none,yes,1,1.0
22,<0,10,critical account,car (new),2241,<100,< 1 year,1,male single,none,3,real estate,Older,none,rent,2,unskilled - resident,2,none,no,1,1.0
23,<200,12,critical account,car (used),1804,<500,< 1 year,3,male single,none,4,savings agreement/life insurance,Older,none,own,1,skilled employee / official,1,none,yes,1,1.0
24,no,10,critical account,furniture/equipment,2069,no,1 <= < 4 years,2,male married/widowed,none,1,car or other,Younger,none,own,2,skilled employee / official,1,none,no,1,1.0
25,<0,6,existing credits paid back duly till now,furniture/equipment,1374,<100,1 <= < 4 years,1,male single,none,2,real estate,Middle2,bank,own,1,unskilled - resident,1,yes,yes,1,1.0
26,no,6,no credits taken,radio/television,426,<100,>= 7 years,4,male married/widowed,none,4,car or other,Middle2,none,own,1,unskilled - resident,1,none,yes,1,1.0
27,>200,12,all credits at this bank paid back duly,radio/television,409,>1000,1 <= < 4 years,3,female divorced/separated/married,none,3,real estate,Older,none,rent,2,skilled employee / official,1,none,yes,1,1.0
28,<200,7,existing credits paid back duly till now,radio/television,2415,<100,1 <= < 4 years,3,male single,guarantor,2,real estate,Middle2,none,own,1,skilled employee / official,1,none,yes,1,1.0
29,<0,60,delay in paying off,business,6836,<100,>= 7 years,3,male single,none,4,no,Older,none,own,2,skilled employee / official,1,yes,yes,0,0.0
30,<200,18,existing credits paid back duly till now,business,1913,>1000,< 1 year,3,male married/widowed,none,3,real estate,Middle2,bank,own,1,skilled employee / official,1,yes,yes,1,0.0
31,<0,24,existing credits paid back duly till now,furniture/equipment,4020,<100,1 <= < 4 years,2,male single,none,2,car or other,Middle1,store,own,1,skilled employee / official,1,none,yes,1,1.0
32,<200,18,existing credits paid back duly till now,car (new),5866,<500,1 <= < 4 years,2,male single,none,2,car or other,Middle1,none,own,2,skilled employee / official,1,yes,yes,1,0.0
33,no,12,critical account,business,1264,no,>= 7 years,4,male single,none,4,no,Older,none,rent,1,unskilled - resident,1,none,yes,1,1.0
34,>200,12,existing credits paid back duly till now,furniture/equipment,1474,<100,< 1 year,4,female divorced/separated/married,none,1,savings agreement/life insurance,Middle2,bank,own,1,management/ highly qualified employee,1,yes,yes,1,1.0
35,<200,45,critical account,radio/television,4746,<100,< 1 year,4,male single,none,2,savings agreement/life insurance,Younger,none,own,2,unskilled - resident,1,none,yes,0,1.0
