,Account Status,Duration,Credit History,Purpose,Credit Amount,Savings,Employment,Installment rate,Sex,Other debtors,Residence,Property,Age,Other installments,Housing,Number of credits,Job,Maintenance,Telephone,Foreign,Target
0,<0,6,critical account,radio/television,1169,no,>= 7 years,4,male single,none,4,real estate,67,none,own,2,skilled employee / official,1,yes,yes,1
1,<200,48,existing credits paid back duly till now,radio/television,5951,<100,1 <= < 4 years,2,female divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee / official,1,none,yes,0
2,no,12,critical account,education,2096,<100,4 <= < 7 years,2,male single,none,3,real estate,49,none,own,1,unskilled - resident,2,none,yes,1
3,<0,42,existing credits paid back duly till now,furniture/equipment,7882,<100,4 <= < 7 years,2,male single,guarantor,4,savings agreement/life insurance,45,none,for free,1,skilled employee / official,2,none,yes,1
4,<0,24,delay in paying off,car (new),4870,<100,1 <= < 4 years,3,male single,none,4,no,53,none,for free,2,skilled employee / official,2,none,yes,0
5,no,36,existing credits paid back duly till now,education,9055,no,1 <= < 4 years,2,male single,none,4,no,35,none,for free,1,unskilled - resident,2,yes,yes,1
6,no,24,existing credits paid back duly till now,furniture/equipment,2835,<1000,>= 7 years,3,male single,none,4,savings agreement/life insurance,53,none,own,1,skilled employee / official,1,none,yes,1
7,<200,36,existing credits paid back duly till now,car (used),6948,<100,1 <= < 4 years,2,male single,none,2,car or other,35,none,rent,1,management/ highly qualified employee,1,yes,yes,1
8,no,12,existing credits paid back duly till now,radio/television,3059,>1000,4 <= < 7 years,2,male divorced/separated,none,4,real estate,61,none,own,1,unskilled - resident,1,none,yes,1
9,<200,30,critical account,car (new),5234,<100,unemployed,4,male married/widowed,none,2,car or other,28,none,own,2,management/ highly qualified employee,1,none,yes,0
10,<200,12,existing credits paid back duly till now,car (new),1295,<100,< 1 year,3,female divorced/separated/married,none,1,car or other,25,none,rent,1,skilled employee / official,1,none,yes,0
11,<0,48,existing credits paid back duly till now,business,4308,<100,< 1 year,3,female divorced/separated/married,none,4,savings agreement/life insurance,24,none,rent,1,skilled employee / official,1,none,yes,0
12,<200,12,existing credits paid back duly till now,radio/television,1567,<100,1 <= < 4 years,1,female divorced/separated/married,none,1,car or other,22,none,own,1,skilled employee / official,1,yes,yes,1
13,<0,24,critical account,car (new),1199,<100,>= 7 years,4,male single,none,4,car or other,60,none,own,2,unskilled - resident,1,none,yes,0
14,<0,15,existing credits paid back duly till now,car (new),1403,<100,1 <= < 4 years,2,female divorced/separated/married,none,4,car or other,28,none,rent,1,skilled employee / official,1,none,yes,1
15,<0,24,existing credits paid back duly till now,radio/television,1282,<500,1 <= < 4 years,4,female divorced/separated/married,none,2,car or other,32,none,own,1,unskilled - resident,1,none,yes,0
16,no,24,critical account,radio/television,2424,no,>= 7 years,4,male single,none,4,savings agreement/life insurance,53,none,own,2,skilled employee / official,1,none,yes,1
